title,description,url,publicationDate,category,authors,text
‘Deeply Concerned’: 6 College Presidents on the Abortion Ruling,Six college presidents react to the overturning of Roe v. Wade. Also: A Supreme Court ruling on religion; Vladimir Putin’s designs; a Democratic strategy.,https://www.nytimes.com/2022/06/28/opinion/letters/6-college-presidents-abortion.html,2022-06-28,Opinion,,To the Editor:
State Battles Are Defining the Shifting Abortion Landscape,An absolute abortion ban that Texas wrote before Roe v. Wade is on hold while a long-ago ban in Wisconsin reaches the courts. A previously blocked six-week ban in Tennessee has taken effect.,https://www.nytimes.com/2022/06/28/us/texas-roe-abortion-ban-blocked.html,2022-06-28,U.S.,By Neelam Bohra and Shawn Hubler,"A state-by-state legal battle in the wake of the Supreme Court’s abortion ruling widened on Tuesday as a judge in Texas temporarily blocked a statewide abortion ban, a federal court let Tennessee tighten existing restrictions, Iowa Republicans said they would ask courts to clear the way for a ban from the moment fetal cardiac activity could be detected, and Wisconsin Democrats announced they were filing suit to halt the resurrection of abortion laws dating to the 19th century."
Biden’s Health Secretary: ‘No Magic Bullet’ for Preserving Abortion Access,"With the White House under pressure to push back on the Supreme Court’s abortion ruling, the health secretary unveiled steps aimed at preserving access to abortion.",https://www.nytimes.com/2022/06/28/us/politics/biden-abortion-roe.html,2022-06-28,U.S.,By Sheryl Gay Stolberg and Charlie Savage,"WASHINGTON — As Democrats and reproductive rights advocates clamored for President Biden to forcefully counter the Supreme Court’s decision overturning Roe v. Wade, his health secretary, Xavier Becerra, stepped up to a lectern here on Tuesday to list the steps his department would take to preserve and expand access to abortion."
What Is Ectopic Pregnancy?,Some women and health care providers have concerns about how this rare but life-threatening pregnancy complication will be treated now that Roe v. Wade has been overturned.,https://www.nytimes.com/article/ectopic-pregnancy-symptoms-treatment.html,2022-06-28,Well,By Catherine Pearson,"In the wake of the Supreme Court overturning Roe v. Wade, which eliminated the constitutional right to abortion access, women and health care providers nationwide are asking how the ruling will affect reproductive health care more broadly."
"For Many Women, Roe Was About More Than Abortion. It Was About Freedom.","After the reversal of Roe v. Wade, some women are reconsidering their plans, including where they live, and wondering how best to channel their anger.",https://www.nytimes.com/2022/06/29/us/women-abortion-roe-wade.html,2022-06-29,U.S.,By Julie Bosman,"CHICAGO — Countless women wept. Some spent the weekend burning white-hot with rage, commiserating with friends and mothers and sisters. Many were fearful, recognizing the feeling of a freedom being taken away and thinking to themselves: This could only get worse."
This Is What a Post-Roe Abortion Looks Like,Self-managed abortion is not a substitute for having full reproductive rights. But it’s one of the best tools we have right now.,https://www.nytimes.com/video/opinion/100000008338650/abortion-pills-roe-texas.html,2022-06-29,Opinion,"By Ora DeKornfeld, Emily Holzknecht and Jonah M. Kessel",Self-managed abortion is not a substitute for having full reproductive rights. But it’s one of the best tools we have right now.
Illinois Abortion Clinics Prepare for Rush of Patients After Roe,"The 67 clinics operating in neighboring states could stop offering abortions or close altogether, sending thousands more patients to Illinois.",https://www.nytimes.com/interactive/2022/06/29/us/illnois-abortion-roe-wade.html,2022-06-29,U.S.,By Allison McCann,"The 67 clinics operating in neighboring states could stop offering abortions or close altogether, sending thousands more patients to Illinois."
This Is What a Post-Roe Abortion Looks Like,Self-managed abortion is not a substitute for having full reproductive rights. But it’s one of the best tools we have right now.,https://www.nytimes.com/2022/06/29/opinion/abortion-pill-roe-wade.html,2022-06-29,Opinion,"By Ora DeKornfeld, Emily Holzknecht and Jonah M. Kessel",This is the true story of a 27-year-old Texas woman and her abortion.
When Reproductive Choice Is a Family Value,What it’s like to be a second-generation director of a North Carolina abortion clinic.,https://www.nytimes.com/2022/06/29/opinion/roe-dobbs-choice.html,2022-06-29,Opinion,By Jessica Grose,"Calla Hales said she wore her bulletproof vest to work on Saturday for the first time in a long time. Hales is the executive director of A Preferred Women’s Health Center, a clinic that provides abortion care in Charlotte, N.C., and has branches in Raleigh, N.C.; Augusta, Ga.; and Atlanta. She’s always worried about her safety, because of the endless stream of threats that abortion providers get. But when I talked to her last week, Hales was dubious about how useful the vest is: It doesn’t cover her entire body so she knows it won’t necessarily save her life."
"Payment Data Could Become Evidence of Abortion, Now Illegal in Some States","Financial companies collect a lot of payment data from customers. Prosecutors could subpoena those records for evidence of abortion, legal experts say.",https://www.nytimes.com/2022/06/29/business/payment-data-abortion-evidence.html,2022-06-29,Business Day,By Ron Lieber and Tara Siegel Bernard,Digital payments are the default for millions of women of childbearing age. So what will their credit and debit card issuers and financial app providers do when prosecutors seek their transaction data during abortion investigations?
Pelosi Received Communion at Vatican After Meeting With Pope,"The sacrament has become a political issue, with conservative American bishops like House Speaker Nancy Pelosi’s own priest, who has said he will deny her the sacrament until she stops publicly supporting abortion rights.",https://www.nytimes.com/2022/06/29/world/europe/pelosi-communion-vatican-pope.html,2022-06-29,World,By Jason Horowitz,"ROME — U.S. House Speaker Nancy Pelosi, an avid defender of abortion rights, met privately with Pope Francis on Wednesday and received communion from a priest during a papal Mass at St. Peter’s Basilica, according to an attendee."
First Amendment Confrontation May Loom in Post-Roe Fight,"Without a federal right to abortion, questions about how states can regulate speech about it suddenly become much murkier.",https://www.nytimes.com/2022/06/29/business/media/first-amendment-roe-abortion-rights.html,2022-06-29,Business Day,By Jeremy W. Peters,"The Supreme Court declared clearly last week that there is no federal right to abortion. But how the decision in Dobbs v. Jackson Women’s Health Organization affects the right to talk about abortion remains far from settled, teeing up what legal experts said was a looming confrontation over whether the First Amendment allows censoring speech about a medical procedure that will become illegal in much of the country."
"As Big Business Is Accused of Becoming ‘Woke,’ Small Business Is Looking to Go Its Own Way",There’s now a more conservative alternative to the U.S. Chamber of Commerce.,https://www.nytimes.com/2022/06/29/opinion/chamber-congress-small-business.html,2022-06-29,Opinion,By Peter Coy,"Big Business and the Republican Party used to be as close as Tweedledum and Tweedledee, but not anymore. On social issues such as abortion and race, the Republican Party has moved to the right while many big corporations have shifted left in an effort to please their diverse mix of employees and customers. Many companies embraced Black Lives Matter. Now a number are promising to cover travel expenses for employees who need to go to another state to get an abortion."
How Zeldin’s Anti-Abortion Stance May Affect the N.Y. Governor’s Race,"Representative Lee Zeldin, the Republican nominee for governor, said the decision to overturn Roe v. Wade was a victory for family, life and the Constitution.",https://www.nytimes.com/2022/06/29/nyregion/abortion-lee-zeldin-governor.html,2022-06-29,New York,By Nicholas Fandos,"The confetti was still falling at her Democratic primary victory party Tuesday night when Gov. Kathy Hochul rolled out a general election warning: If her Republican opponent wins in November, he could follow the Supreme Court’s lead and curtail New Yorkers’ abortion rights."
"In States Banning Abortion, a Growing Rift Over Enforcement",A reluctance by some liberal district attorneys to bring criminal charges against abortion providers is already complicating the legal landscape in some states.,https://www.nytimes.com/2022/06/29/us/abortion-enforcement-prosecutors.html,2022-06-29,U.S.,By J. David Goodman and Jack Healy,"HOUSTON — Deep rifts have emerged among the hundreds of elected district attorneys who will be charged with enforcing the expanding restrictions on abortion, creating a Balkanized new legal system within states that are banning the procedure."
The Lightning Rod Issue That Looms Over the Governor’s Race,"Lee Zeldin, the Republican candidate, is anti-abortion, while Gov. Kathy Hochul is a strong backer of abortion rights.",https://www.nytimes.com/2022/06/30/nyregion/the-lightning-rod-issue-that-looms-over-the-governors-race.html,2022-06-30,New York,By James Barron,Good morning. It’s Thursday. We’ll look at how the abortion issue divides the two major-party candidates for governor. We’ll also find out why dolphins are making a comeback in New York Harbor.
Deleting Your Period Tracker Won’t Protect You,"Tweets telling women to do that went viral after Roe v. Wade was overturned, but experts say other digital data are more likely to reveal an illegal abortion.",https://www.nytimes.com/2022/06/30/technology/period-tracker-privacy-abortion.html,2022-06-30,Technology,By Kashmir Hill,"In May 1972, the Chicago police raided a high-rise apartment where a group called the Jane Collective was providing abortions. It was the year before the Supreme Court’s Roe v. Wade decision gave women the constitutional right to decide whether to give birth, and abortion was a criminal offense in Illinois."
A Powerful Court,"In other advanced democracies, the courts are more restrained.",https://www.nytimes.com/2022/06/30/briefing/supreme-court-us-democracy.html,2022-06-30,Briefing,By German Lopez,"By now, most of us are used to U.S. Supreme Court rulings that bring big changes to American life — on abortion, guns, same-sex marriage and more. This morning may bring another sweeping ruling, on climate change."
Reconsidering Privacy Risks After Roe,"Many women are worried that their data might be used against them — whether it’s period tracking apps, digital receipts or other information collected by companies.",https://www.nytimes.com/2022/06/30/business/dealbook/abortion-privacy-risks-data.html,2022-06-30,Business Day,"By Andrew Ross Sorkin, Vivian Giang, Stephen Gandel, Lauren Hirsch, Ephrat Livni and Jenny Gross","In the post-Roe era, when abortion may be illegal in much of the country, many women are worried that their data might be used against them — whether it’s digital receipts, period tracking apps or the vast trove of personal information collected and disseminated every day by tech companies large and small."
"Biden, Chiding Court, Endorses Ending Filibuster to Codify Abortion Rights",The president called the Supreme Court’s decision overturning Roe v. Wade “destabilizing’’ and said Congress needed to act to codify it into law.,https://www.nytimes.com/2022/06/30/world/europe/biden-nato-jan-6.html,2022-06-30,World,By Michael D. Shear and Jim Tankersley,MADRID — President Biden on Thursday condemned what he called the “outrageous behavior” of the Supreme Court in overturning Roe v. Wade and said for the first time that he supported ending the filibuster to protect a woman’s right to an abortion and a broader constitutional right to privacy. 
Media companies expand health coverage after the Supreme Court abortion ruling.,News organizations join other businesses that will reimburse employees who need to travel to access reproductive health care.,https://www.nytimes.com/2022/06/30/business/media/abortion-travel-expenses-media-companies.html,2022-06-30,Business Day,By Emma Goldberg,"Since the Supreme Court’s ruling on abortion, some media companies have wrestled with a complex issue: how to balance their news coverage with the desire to expand their policies to protect reproductive health care for their employees."
Florida Judge Will Temporarily Block 15-Week Abortion Ban,"The ban, passed by Republican lawmakers and signed by Gov. Ron DeSantis, is scheduled to take effect on Friday.",https://www.nytimes.com/2022/06/30/us/florida-abortion-ban-blocked.html,2022-06-30,U.S.,By Patricia Mazzei,"MIAMI — A law banning abortions after 15 weeks of pregnancy violates privacy protections in the Florida Constitution, a state judge ruled on Thursday, a day before the new restrictions were to take effect."
"Post-Roe, Her Facebook Group Went Viral","Veronica Risinger made a little online spot for neighbors to share information on abortion. Then 30,000 people joined.",https://www.nytimes.com/2022/06/30/technology/facebook-groups-abortion.html,2022-06-30,Technology,By Shira Ovide,"When the Supreme Court overturned Roe v. Wade on Friday, Veronica Risinger started what she thought would be a tiny Facebook group for her neighbors in Kansas City., Mo., to share resources for people seeking abortions."
"Abortion on the Ballot: ‘Remember, You Are Alone in the Voting Booth’","Voters, Republican and Democratic, discuss the politics of abortion. Also: Gerrymandering; the Ukraine war; “stolen” elections; a constitutional convention.",https://www.nytimes.com/2022/06/30/opinion/letters/abortion-politics-voting.html,2022-06-30,Opinion,,To the Editor:
Is the Right to Same-Sex Marriage Next?,Why the Supreme Court should not overturn the right to same-sex marriage.,https://www.nytimes.com/2022/06/30/opinion/same-sex-marriage-supreme-court.html,2022-06-30,Opinion,By Kenji Yoshino,"While the Supreme Court’s opinion in Dobbs v. Jackson Women’s Health Organization is already catastrophic in its effects on reproductive rights and the equal treatment of women in this country, it has also led to speculation that the court’s conservative supermajority is just getting started in rolling back fundamental rights. To be sure, Justice Samuel Alito’s majority opinion is at pains to say that “nothing in this opinion should be understood to cast doubt on precedents that do not concern abortion.” Yet that statement rings false."
The Single Best Guide I’ve Heard to the Supreme Court’s Rightward Shift,The legal scholar Kate Shaw walks me through the Supreme Court’s decades-long conservative counterrevolution.,https://www.nytimes.com/2022/07/01/opinion/ezra-klein-podcast-kate-shaw.html,2022-07-01,Opinion,By ‘The Ezra Klein Show',"In the past few weeks alone, the Supreme Court has delivered a firestorm of conservative legal victories. States now have far less leeway to restrict gun permits. The right to abortion is no longer constitutionally protected. The Environmental Protection Agency has been kneecapped in its ability to regulate carbon emissions, and by extension, all executive branch agencies will see their power significantly diminished."
America’s Post-Roe Chaos Is Here,The reality of criminalized abortion is going to shock people.,https://www.nytimes.com/2022/07/01/opinion/post-roe-chaos.html,2022-07-01,Opinion,By Michelle Goldberg,It’s chaos out there.
What Makes a Fetus a Person?,"The unborn child’s state of existential dependence upon its mother, not its autonomy, makes it especially entitled to care, nurture and legal protection.",https://www.nytimes.com/2022/07/01/opinion/fetal-personhood-constitution.html,2022-07-01,Opinion,By Erika Bachiochi,"Dobbs v. Jackson Women’s Health Organization has returned the issue of abortion to legislatures. There, pro-lifers will work to ensure that unborn children in every jurisdiction are protected by law. Though individual states can (and already have) sought to protect the most vulnerable human beings through ordinary legislation, constitutional protection of unborn children as equal “persons” under the law remains the movement’s ultimate — if elusive — goal."
Who Will Help Care for Texas’ Post-Roe Babies?,Even some anti-abortion adherents say Texas is failing families left impoverished by its war against abortion.,https://www.nytimes.com/2022/07/01/us/politics/texas-abortion-roe-wade.html,2022-07-01,U.S.,By Elizabeth Williamson and Erin Schaff,"ARGYLE, Texas — Two days after the Supreme Court overturned Roe v. Wade, a 27-year-old woman delivered her fourth child, a boy she named Cason. Born after his mother fled from domestic abuse and was denied an abortion, he is among the first of many post-Roe babies expected in Texas."
An Abortion Rights Champion of the 1970s on Life Before and After Roe,"Fifty years ago, Nancy Stearns, a lawyer, was on the front lines of the battle to secure legal access to terminations for American women.",https://www.nytimes.com/2022/07/01/podcasts/the-daily/abortion-rights-nancy-stearns-roe.html,2022-07-01,Podcasts,"By Sabrina Tavernise, Stella Tan, Clare Toeniskoetter, Paige Cowett, Marion Lozano, Chelsea Daniel, Dan Powell, Corey Schreppel and Chris Wood","A little over 50 years ago, Nancy Stearns, a young lawyer, was presenting a case in New York with a bold legal assertion: that the right to abortion was fundamental to equal rights for women."
A Transformative Term at the Most Conservative Supreme Court in Nearly a Century,"The blockbuster decisions — on abortion, guns, religion and climate — told part of the story. But the court’s abrupt rightward shift ran through its entire docket.",https://www.nytimes.com/2022/07/01/us/supreme-court-term-roe-guns-epa-decisions.html,2022-07-01,U.S.,By Adam Liptak and Alicia Parlapiano,"WASHINGTON — The Supreme Court moved relentlessly to the right in its first full term with a six-justice conservative majority, issuing far-reaching decisions that will transform American life. It eliminated the constitutional right to abortion, recognized a Second Amendment right to carry guns outside the home, made it harder to address climate change and expanded the role of religion in public life."
New York Moves to Enshrine Abortion Rights in State Constitution,"The Equal Rights Amendment prohibits discrimination against anyone based on race, ethnicity, national origin, disability or sex — specifically sexual orientation, gender identity and expression, and pregnancy.",https://www.nytimes.com/2022/07/01/nyregion/abortion-ny-state-law.html,2022-07-01,New York,By Grace Ashford,"ALBANY, N.Y. — The New York State Legislature on Friday passed a measure that, if fully enacted, would enshrine in the State Constitution the right to seek an abortion and access contraception."
"In Louisiana, Abortion Clinics Stay Open on Borrowed Time","On July 8, a judge will consider whether an abortion ban can go forward. Until then, a Shreveport facility intends to serve as many women as possible.",https://www.nytimes.com/interactive/2022/07/01/us/louisiana-abortion-clinic.html,2022-07-01,U.S.,By Emily Kask,"On July 8, a judge will consider whether an abortion ban can go forward. Until then, a Shreveport facility intends to serve as many women as possible."
Will Companies Help Their Employees Get Abortions?,There’s no ducking this fight.,https://www.nytimes.com/2022/07/01/opinion/abortion-employer-employees.html,2022-07-01,Opinion,By Peter Coy,"Like it or not, business owners are being sucked into the fight over abortion. Now that the Supreme Court has ended the federal protection of abortion rights, the battle has moved on to whether companies will help their employees get abortions in any way, including by reimbursing them for expenses to travel out of state to obtain a legal procedure."
What’s happening in the states? Here’s the latest on which abortion laws are in effect and which are blocked.,"Eight states have now outlawed abortion, including Texas, which allowed a 1925 law to go into effect on Friday night.",https://www.nytimes.com/2022/07/01/us/abortion-bans-laws-blocked-us-states.html,2022-07-01,U.S.,By Ava Sasani,"A tug of war over the future of abortion access is playing out in courts across the United States after the Supreme Court overturned Roe v. Wade, adding to a legal landscape defined by uncertainty, confusion and rapid change."
Inside the Extreme Effort to Punish Women for Abortion,"Abortion “abolitionists” are the outer edge of the anti-abortion movement. They’re looking to gain followers after the decision to overturn Roe, unsettling mainstream anti-abortion groups.",https://www.nytimes.com/2022/07/01/us/abortion-abolitionists.html,2022-07-01,U.S.,By Elizabeth Dias,"Hours after the Supreme Court overturned Roe v. Wade last week, a man with a wiry, squared-off beard and a metal cross around his neck celebrated with his team at a Brazilian steakhouse. He pulled out his phone to livestream to his followers."
Google Says It Will Delete Location Data When Users Visit Abortion Clinics,"Under pressure from employees and supporters of reproductive rights, the company announced privacy changes for the post-Roe era.",https://www.nytimes.com/2022/07/01/technology/google-abortion-location-data.html,2022-07-01,Technology,By Nico Grant,"SAN FRANCISCO — Google said on Friday that it would delete abortion clinic visits from the location history of its users, in the company’s first effort to address how it will handle sensitive data in the wake of the Supreme Court overturning Roe v. Wade."
N.Y. Lawmakers Respond on Guns and Abortion After Supreme Court Rulings,"Lawmakers passed measures that would prohibit concealed weapons in many public places, as well as an amendment that would initiate the process of enshrining the right to abortion in the State Constitution.",https://www.nytimes.com/2022/07/01/nyregion/ny-guns-abortion-supreme-court.html,2022-07-01,New York,By Jonah E. Bromwich and Nicholas Fandos,"A week after the Supreme Court issued monumental rulings loosening restrictions on carrying guns and overturning the constitutional right to abortion, New York enacted sweeping measures designed to blunt the decisions’ effects."
What Is the ‘Abortion Abolitionist’ Movement?,How a fringe faction has started to gain steam post Roe.,https://www.nytimes.com/interactive/2022/07/01/us/abortion-abolition-movement.html,2022-07-02,U.S.,,How a fringe faction has started to gain steam post Roe.
The Federal Government Subsidizes Abortions. Will That Last?,Individuals can often use health insurance or flexible spending accounts to pay for abortions or deduct the cost on tax returns. Congress might weigh in.,https://www.nytimes.com/2022/07/02/your-money/abortion-employer-federal-coverage.html,2022-07-02,Your Money,By Ron Lieber and Tara Siegel Bernard,"In the United States, you can get a tax deduction for your abortion if your overall health care expenses are high enough. That didn’t change with the Supreme Court’s ruling last week."
When Where You Work Determines if You Can Get an Abortion,"After the Dobbs v. Jackson decision, many women are discovering that their employer can shape major decisions in their lives even more than it did a week ago.",https://www.nytimes.com/2022/07/02/business/economy/abortion-employer-support.html,2022-07-02,Business Day,By Emma Goldberg,"When Breanna Dietrich was 18 and working at a restaurant in West Virginia, she got pregnant. The father was a man she knew she wouldn’t marry. She considered getting an abortion. But the nearest clinic was four hours away and she couldn’t afford to take off work — so she had the baby girl."
Seeing Norma: The Conflicted Life of the Woman at the Center of Roe v. Wade,"Norma McCorvey, the plaintiff in the case that made abortion legal, struggled with her role. Her personal papers offer insight into her life, her thinking — and her continued relevance.",https://www.nytimes.com/2022/07/02/books/norma-mccorvey-roe-wade.html,2022-07-02,Books,By Joshua Prager,"Norma McCorvey, the Jane Roe at the center of Roe v. Wade, was an imperfect plaintiff."
"Spurred by the Supreme Court, a Nation Divides Along a Red-Blue Axis","On abortion, climate change, guns and much more, two Americas — one liberal, one conservative — are moving in opposite directions.",https://www.nytimes.com/2022/07/02/us/politics/us-divided-political-party.html,2022-07-02,U.S.,By Jonathan Weisman,"Pressed by Supreme Court decisions diminishing rights that liberals hold dear and expanding those cherished by conservatives, the United States appears to be drifting apart into separate nations, with diametrically opposed social, environmental and health policies."
Texas Supreme Court Lifts Freeze on Abortion Ban,"The decision, overturning a lower court ruling that had temporarily blocked the ban, allowed a 1925 law to take effect.",https://www.nytimes.com/2022/07/02/us/texas-supreme-court-abortion-ban.html,2022-07-02,U.S.,By Isabella Kwai,"The Texas Supreme Court allowed a 1925 law banning abortion to take effect late on Friday night, overturning a lower court ruling that had temporarily blocked it."
"An Anti-Abortion Victory, but ‘at What Price’?",Readers react to a column by Ross Douthat and a guest essay by an anti-abortion advocate.,https://www.nytimes.com/2022/07/02/opinion/letters/roe-v-wade-dobbs-abortion.html,2022-07-02,Opinion,,To the Editor:
Gridlock in Congress Has Amplified the Power of the Supreme Court,"What was once a dialogue between the branches has become almost entirely one-sided, with the justices accumulating clout at lawmakers’ expense.",https://www.nytimes.com/2022/07/02/us/supreme-court-congress.html,2022-07-02,U.S.,By Adam Liptak,"WASHINGTON — On the last day of a turbulent term that included rulings on what the Constitution has to say about abortion, guns and religion, the Supreme Court issued another sort of decision, one that turned on the words of the Clean Air Act."
The Long Path to Reclaim Abortion Rights,"The Supreme Court decision to reverse Roe, far from settling the matter, instead has launched court and political battles across the states likely to go on for years.",https://www.nytimes.com/2022/07/02/us/abortion-rights-roe-v-wade.html,2022-07-02,U.S.,By Kate Zernike,"Attempting to recover from their staggering loss in the Supreme Court, abortion rights groups have mounted a multilevel legal and political attack aimed at blocking and reversing abortion bans in courts and at ballot boxes across the country."
Supreme Court Marshal Asks Officials to End Protests at Justices’ Homes,"One official criticized the request, saying that the federal government was primarily responsible for ensuring the safety of justices and their families.",https://www.nytimes.com/2022/07/02/us/politics/supreme-court-protests-homes.html,2022-07-02,U.S.,By Aishvarya Kavi,WASHINGTON — The chief security officer of the Supreme Court has asked that Virginia and Maryland officials enforce laws that would prohibit protests outside the homes of justices after weeks of demonstrations favoring abortion rights.
‘The Pro-Life Generation’: Young Women Fight Against Abortion Rights,"Many American women mourned the Supreme Court decision to overturn Roe, but for others it is a moment of triumph and a matter of human rights.",https://www.nytimes.com/2022/07/03/us/pro-life-young-women-roe-abortion.html,2022-07-03,U.S.,By Ruth Graham,"DALLAS — The rollback of abortion rights has been received by many American women with a sense of shock and fear, and warnings about an ominous decline in women’s status as full citizens."
The Persistent Myth That Restricting Abortion Rights Won’t Affect the Rich,"The notion that rich women will be fine, regardless of what the law says, is probably comforting to some. But it is simply not true.",https://www.nytimes.com/2022/07/03/opinion/abortion-rights-wealthy.html,2022-07-03,Opinion,By Elizabeth Spiers,"If there’s one assumption about abortion rights that’s accepted across the ideological spectrum, it’s this: The Supreme Court’s reversal of Roe v. Wade will mostly affect the poor; rich women will still have access to abortions when they need them."
Abortion Laws Around the World,"The U.S. Supreme Court’s ruling on abortion quickly led to bans in at least eight states, a shift toward criminalization that runs counter to recent easings in countries that had longstanding bans.",https://www.nytimes.com/2022/07/03/world/abortion-laws-international.html,2022-07-03,World,By The New York Times,"The Supreme Court’s elimination of the constitutional right to abortion, after nearly a half-century, has made the United States one of the few countries actively strengthening abortion restrictions."
"America the Imperfect, on the Fourth of July","Reflections on America, in response to a column by Pamela Paul. Also: School safety; Microsoft and unions; abortion pills; God and miscarriages.",https://www.nytimes.com/2022/07/03/opinion/letters/america-july-4.html,2022-07-03,Opinion,,To the Editor:
The Culture War That More Christians Should Be Fighting,"If we don’t talk about economic justice, we are advancing an emaciated view of Christian political engagement.",https://www.nytimes.com/2022/07/03/opinion/economic-justice-culture-war.html,2022-07-03,Opinion,By Tish Harrison Warren,"Let’s talk about the culture war we should be fighting. When we think of what’s important to the “religious right” or to “white evangelicals,” the focus tends to be on social issues: abortion, the role of religion in public life, conflicts around sexual orientation and gender identity, and lately, controversy over critical race theory."
"Abortion, Like Prohibition, Has a Clear Racial Dimension",How long before this unpopular repression also loses favor and falls into decline?,https://www.nytimes.com/2022/07/03/opinion/abortion-prohibition-racism.html,2022-07-03,Opinion,By Charles M. Blow,"Last week, David Frum wrote a fascinating article for The Atlantic comparing our current abortion battle to Prohibition, another contentious issue that bitterly divided the nation. After a long, “titanic” struggle, the temperance movement succeeded in imposing a nationwide ban on alcohol — only to have it decline and collapse 13 years later."
Quotation of the Day: Strategic Shift in Bid to Regain Abortion Rights,"Quotation of the Day for Monday, July 4, 2022.",https://www.nytimes.com/2022/07/04/todayspaper/quotation-of-the-day-strategic-shift-in-bid-to-regain-abortion-rights.html,2022-07-04,Today’s Paper,,"“We’re in a chess game and we haven’t gotten checkmate. We’re doing check, check, check, check. Unfortunately, we’re doing check, check, check with pregnant people and their families’ lives.”"
"In a Post-Roe World, We Can Avoid Pitting Mothers Against Babies","Especially in hard cases like ectopic pregnancy, we can offer more love and material support to mothers and children.",https://www.nytimes.com/2022/07/04/opinion/ectopic-pregnancy-roe-abortion.html,2022-07-04,Opinion,By Leah Libresco Sargeant,"Now that the Supreme Court has overturned Roe v. Wade, states face a new reality about where to draw the line in pregnancy for when abortion is permitted. In these debates, ectopic pregnancy is a key issue."
Where the Risks of Pregnancy Meet Abortion Laws and Health Care,"Even before the wave of abortion bans, medical treatment and advice for pregnancy has largely focused on fetal safety over the mother’s.",https://www.nytimes.com/2022/07/04/world/americas/abortion-pregnancy-health.html,2022-07-04,World,By Amanda Taub,"As the United States has grappled with the unfolding consequences of the Supreme Court’s decision overruling Roe v. Wade, one question lurks between the lines of court opinions and news stories alike: Why are the risks of pregnancy so rarely discussed anywhere, even though that information is relevant not just to individual decisions but to policies about abortion, pregnancy, and health care for women?"
Will the Abortion Debate Keep Moderate Women in the Democrats’ Camp?,"Worried about inflation and dissatisfied with President Biden, many moderate women have been drifting away from Democrats. Now the party hopes the fight for abortion rights will drive them back.",https://www.nytimes.com/2022/07/05/us/politics/abortion-roe-midterm-elections-moderate-women.html,2022-07-05,U.S.,By Katie Glueck,"GRAND RAPIDS, Mich. — As Gov. Gretchen Whitmer prepared to kick off a round-table discussion about abortion rights at a brewery recently, Alisha Meneely sat at one corner of the table, feeling politically abandoned."
Infertility Patients and Doctors Fear Abortion Bans Could Restrict I.V.F.,"The new state bans don’t explicitly cover embryos created outside the womb, but legal experts say overturning Roe could make it easier to place controls on genetic testing, storage and disposal of them.",https://www.nytimes.com/2022/07/05/health/ivf-embryos-roe-dobbs.html,2022-07-05,Health,By Jan Hoffman,"Anna Nibley Baker, a mother of four in Salt Lake City, is reasonably certain that she and her husband are done building their family. Yet for eight years, since the birth of her last child, conceived through in vitro fertilization, she has thought tenderly of the couple’s three remaining embryos, frozen and stored at a university clinic."
Next Front Line in the Abortion Wars: State Supreme Courts,"Court challenges to sweeping rollbacks of abortion rights must go through state supreme courts, many of which have been shaped by years of conservative activism.",https://www.nytimes.com/2022/07/06/us/abortion-state-supreme-courts.html,2022-07-06,U.S.,By Michael Wines,"WASHINGTON — Fresh from the political thicket of the United States Supreme Court, the struggle over abortion is now moving to venues that are poised to become the next front line in the country’s partisan warfare: state supreme courts."
Americans Are Losing Their Right to Not Conform,The freedom to define oneself has deep roots in the American traditions of pluralism and independence.,https://www.nytimes.com/2022/07/06/opinion/dobbs-griswold-abortion-rights-conformity.html,2022-07-06,Opinion,By Melissa Murray,"On June 24 the Supreme Court laid waste to Roe v. Wade and Planned Parenthood v. Casey on the grounds that the right to an abortion is not enumerated in the Constitution and is not deeply rooted in the history and traditions of the United States. As many commentators have noted, similar objections could be lodged against precedents like Griswold v. Connecticut, Lawrence v. Texas and Obergefell v. Hodges, which recognize constitutional protections for contraception, sex and marriage."
Roe Is Dead. How Will Democrats and the G.O.P. Evolve Without It?,Michelle Goldberg and Ross Douthat on what comes next for Democrats and Republicans.,https://www.nytimes.com/2022/07/06/opinion/what-comes-next-for-democrats-and-republicans-post-roe.html,2022-07-06,Opinion,By ‘The Argument',"For nearly 50 years, the issue of abortion has driven voters of all persuasions to the polls. But now that Roe v. Wade has been overturned and the question of reproductive rights has been returned to the states, America’s political parties are going to have to figure out how to metabolize that energy in the years ahead. To discuss what comes next for Democrats and Republicans alike, host Jane Coaston is joined by Times Opinion columnists Ross Douthat and Michelle Goldberg. As colleagues, they’ve been debating abortion with each other, on this podcast and in the pages of the paper, for years."
China Offers Women Perks for Having Babies. Single Moms Don’t Qualify.,"Beijing is giving incentives to stem a demographic crisis, but its control over childbirth and its suppression of women’s rights are making it difficult for some aspiring parents to start a family.",https://www.nytimes.com/2022/07/06/business/economy/china-reproductive-rights-women.html,2022-07-06,Business Day,By Alexandra Stevenson,"When Chan Zhang heard about the U.S. Supreme Court’s decision to overturn Roe v. Wade, she was baffled that Americans were still arguing over abortion rights."
The Latest on Abortion in the States,"In the aftermath of the Supreme Court striking down Roe v. Wade, there has been a flurry of activity in the states as officials move to prohibit or expand abortion access.",https://www.nytimes.com/interactive/2022/07/06/us/abortion-news.html,2022-07-06,U.S.,By Chelsea Matiash,"In the aftermath of the Supreme Court striking down Roe v. Wade, there has been a flurry of activity in the states as officials move to prohibit or expand abortion access."
